,app,cluster,depth,leaves,score
0,Claude by Anthropic,productivity and organization,23,1549,196.4
2,Le Chat by Mistral AI,multimodal assistance mmaa,17,49,167.0
3,Le Chat by Mistral AI,artificial intelligence ai support,17,49,167.0
1,Le Chat by Mistral AI,human assistance,17,49,167.0
7,Le Chat by Mistral AI,e-commerce,17,49,163.0
9,Le Chat by Mistral AI,multimodal input and output miio,17,49,163.0
8,Le Chat by Mistral AI,multimodal information retrieval mimir,17,49,163.0
10,Le Chat by Mistral AI,e-commerce platform,17,49,163.0
6,Le Chat by Mistral AI,business proposal,17,49,163.0
5,Le Chat by Mistral AI,language model,17,49,163.0
4,Le Chat by Mistral AI,technology,17,49,163.0
11,Microsoft Copilot,community,16,47,159.0
12,Perplexity - Ask Anything,text-based assistance,12,48,156.0
13,Le Chat by Mistral AI,multimodal assistance,17,49,155.0
14,Microsoft Copilot,language models,17,40,154.0
15,Claude by Anthropic,ai-assisted communication ac,14,40,152.0
16,DeepSeek - AI Assistant,tech support,10,48,152.0
17,ChatGPT,language identification,11,49,151.0
18,Claude by Anthropic,communication,10,47,151.0
19,ChatGPT,voice interaction vi,10,50,150.0
